"الرمز","الكلية أو المعهد","السعة","الحد الأدنى المطلوب من الدرجات بعد طي علامة التربية الدينية و إحدى اللغتين","المدينة"
"145","الإعلام","2","2000","1"
"146","التربية (علم نفس)","2","1934","1"
"147","التربية (علم نفس)","2","1655","9"
"148","التــــربية الخاصة","2","1689","1"
"149","التربية (الإرشاد النفسي)","2","1854","1"
"150","التربية (الإرشاد النفسي)","3","1628","9"
"151","التربية (الإرشاد النفسي)","3","1657","11"
"152","التربية (معلم صف)","2","1650","1"
"153","التربية (معلم صف)","3","1510","3"
"154","التربية (معلم صف)","2","1677","4"
"155","التربية (معلم صف)","3","1652","8"
"156","التربية (معلم صف)","1","1212","14"
"157","الحقوق","1","2011","1"
"158","الحقوق","1","1755","4"
"159","الحقوق","2","1873","3"
"160","الحقوق","3","1692","6"
"161","الحقوق","1","1814","7"
"162","الحقوق","2","1920","8"
"163","الشـــــريعة","3","1401","1"
"164","الشـــــريعة","2","1400","6"
"165","العلوم السياسية","2","1780","1"
"166","الســـــــياحة","1","1651","1"
"167","الســـــــياحة","2","1651","9"
"168","الســـــــياحة","3","1650","11"
"169","التربية الرياضية","1","1499","8"
"170","التربية الرياضية","3","1244","10"
"171","الفنون الجميلة","1","4099","1"
"172","الفنون الجميلة","2","4176","5"
"173","الفنون الجميلة","1","3889","8"
"174","المعهد التقاني الهندسي","1","1673","1"
"175","المعهد التقاني الهندسي","1","1433","4"
"176","المعهد التقاني الهندسي","3","1367","8"
"177","المعهد التقاني الهندسي","1","1475","9"
"178","المعهد التقاني الهندسي","1","1210","13"
"179","المعهد التقاني للهندسة الميكانيكية والكهربائية","2","1504","1"
"180","المعهد التقاني للهندسة الميكانيكية والكهربائية","2","893","6"
"181","المعهد التقاني لطب الأسنان","1","2224","1"
"182","المعهد التقاني لطب الأسنان","2","2127","6"
"183","المعهد التقاني لطب الأسنان","1","2102","10"
"184","المعهد التقاني للعلوم المالية والمصرفية","1","1589","1"
"185","المعهد التقاني للعلوم المالية والمصرفية","2","1040","12"
"186","المعهد التقاني الطبي","2","2049","1"
"187","المعهد التقاني الطبي","2","1817","2"
"188","المعهد التقاني الطبي","1","1638","10"
"189","المعهد التقاني للحاسوب","1","1709","1"
"190","المعهد التقاني للحاسوب","3","1389","4"
"191","المعهد التقاني للحاسوب","1","1501","9"
"192","المعهد التقاني للطب البيطري","2","980","8"
"193","المعهد التقاني للطب البيطري","2","980","12"
"194","المعهد التقاني للطب البيطري","1","1008","13"
"195","المعهد التقاني للطاقة الشمسية","2","1316","11"
"196","المعهد التقاني للنقل البحري","2","1247","11"
"197","المعهد التقاني الصحي","2","1542","11"
"198","المعهد التقاني للعلوم السياحية و الفندقية","3","1374","1"
"199","المعهد التقاني للعلوم السياحية و الفندقية","1","1246","2"
"200","المعهد التقاني للعلوم السياحية و الفندقية","1","1539","11"
